Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Dudley Leonard Carl Goodfellow,https://www.awm.gov.au/people/P10678375/#biography,1897,1897,"Australia: New South Wales, Joadja Creek",1918-08-14,none,1918-09-13,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Frederick Goodfellow,https://www.awm.gov.au/people/P10659441/#biography,1894,1894,"Australia: New South Wales, Mittagong",none,Private,none,none,"12th Australian Light Horse Regiment
4th Australian Signal Troop
4th Australian Machine Gun Squadron",none,1916-09-19,none,"2035 - First World War, 1914-1918",none,none,none,none
Joe Goolagong,https://www.awm.gov.au/people/P10681939/#biography,none,none,"Australia: New South Wales, Forbes",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private George Gordon,https://www.awm.gov.au/people/P10656676/#biography,none,none,"Australia: New South Wales, Brewarrina",none,Private,none,none,12th Australian Light Horse Regiment,none,1916-05-05,none,"1713 - First World War, 1914-1918",none,none,none,none
John Gordon,https://www.awm.gov.au/people/P10681940/#biography,none,none,"Australia: New South Wales, Werris Creek",none,none,none,none,7th Australian Light Horse Regiment,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private Roland Donald Gordon,https://www.awm.gov.au/people/P10522233/#biography,1883,1883,"Australia: Queensland, North Queensland, Bowen",none,Private,none,none,49th Australian Infantry Battalion,none,1916-10-27,none,"2906 - First World War, 1914-1918",30 March 1931,1931-03-30,none,none
Private Joseph Gotch,https://www.awm.gov.au/people/P10413448/#biography,29 May 1895,1895-05-29,"Australia: New South Wales, Cootamundra",none,Private,none,none,33rd Australian Infantry Battalion,none,1917-02-10,none,"7242 - First World War, 1914-1918",none,none,none,none
Private Allan Gowans,https://www.awm.gov.au/people/P10584012/#biography,1897,1897,"Australia: New South Wales, Carrathool",none,Private,none,none,"53rd Australian Infantry Battalion
54th Australian Infantry Battalion",none,1915-09-30,none,"2816 - First World War, 1914-1918",none,none,none,none
Private Clifford William Gower,https://www.awm.gov.au/people/P10426186/#biography,1895,1895,"Australia: Tasmania, Lefroy",none,Private,none,none,12th Australian Infantry Battalion,none,1918-02-28,none,"7993 - First World War, 1914-1918",none,none,none,none
Private John Donald Gower,https://www.awm.gov.au/people/P10678377/#biography,1897,1897,"Australia: Tasmania, Latrobe",none,Private,none,none,12th Australian Infantry Battalion,none,1915-10-27,none,"2838 - First World War, 1914-1918",29 July 1916,1916-07-29,France,none
Driver William Harold Gower,https://www.awm.gov.au/people/P10678378/#biography,1894,1894,"Australia: Tasmania, Latrobe",none,Driver,none,none,"Australian Field Artillery
105th Australian (Howitzer) Battery",none,1916-05-04,none,"14604 - First World War, 1914-1918",4 November 1918,1918-11-04,United Kingdom,none
Private George Graham,https://www.awm.gov.au/people/P10678379/#biography,1888,1888,"Australia: Queensland, Southport",none,Private,none,none,26th Australian Infantry Battalion,none,1916-10-27,none,"6077 - First World War, 1914-1918",9 July 1918,1918-07-09,France,none
Private Cedric Hordon Grant,https://www.awm.gov.au/people/P10413631/#biography,18 January 1896,1896-01-18,"Australia: New South Wales, Cowra",none,Private,none,none,2nd Australian Infantry Battalion,none,1916-04-14,none,"5373 - First World War, 1914-1918N74195 - Second World War, 1939-1945",none,none,none,none
Private Douglas Grant,https://www.awm.gov.au/people/P10678392/#biography,1886,1886,"Australia: Queensland, North Queensland, Atherton",none,Private,none,none,13th Australian Infantry Battalion,none,1916-08-22,none,"6020 - First World War, 1914-1918",4 December 1951,1951-12-04,"Australia: New South Wales, Sydney, Little Bay",none
James Grant,https://www.awm.gov.au/people/P10681941/#biography,none,none,"Australia: New South Wales, Forbes",none,none,none,none,none,none,none,none,"87026 - First World War, 1914-191851113 - First World War, 1914-1918",none,none,none,none
Private John Henry Grant,https://www.awm.gov.au/people/P10678390/#biography,1895,1895,"Australia: New South Wales, Cowra",none,Private,none,none,"53rd Australian Infantry Battalion
Indigenous serviceperson",none,1916-09-14,none,"2415 - First World War, 1914-1918",29 March 1917,1917-03-29,France,none
Richard Grant,https://www.awm.gov.au/people/P10681942/#biography,none,none,"Australia: New South Wales, Forbes",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private John William Gray,https://www.awm.gov.au/people/P10678393/#biography,1892,1892,"Australia: Queensland, Charleville",none,Private,none,none,26th Australian Infantry Battalion,none,1916-03-30,none,"4420 - First World War, 1914-1918",15 April 1962,1962-04-15,none,none
Private James Griffin,https://www.awm.gov.au/people/P10591637/#biography,1886,1886,"Australia: Western Australia, Esperance",none,Private,none,none,10 Light Horse Regiment,none,1916-05-16,none,"2352 - First World War, 1914-1918",none,none,none,none
Private Jack Grose,https://www.awm.gov.au/people/P10569908/#biography,none,none,"Australia: New South Wales, Gunnedah",none,Private,none,none,none,none,1916-08-16,none,"3566 - First World War, 1914-1918",none,none,none,none
William Harder,https://www.awm.gov.au/people/P10681943/#biography,none,none,"Australia: Western Australia, Perth",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Valentine Hare,https://www.awm.gov.au/people/P10565541/#biography,1896,1896,"Australia: Queensland, Burdekin",none,Private,none,none,2nd Australian Light Horse Regiment,none,1917-05-09,none,"3297 - First World War, 1914-1918",none,none,none,none
Private Thomas William Hargraves,https://www.awm.gov.au/people/P10647727/#biography,1886,1886,"Australia: New South Wales, Sydney",none,Private,none,none,6th Australian Light Horse Regiment,none,1917-06-11,none,"3360 - First World War, 1914-1918",none,none,none,none
Harry Harper,https://www.awm.gov.au/people/P10678395/#biography,2 September 1891,1891-09-02,"Australia: Queensland, Mitchell",1917-06-25,none,1917-08-10,none,none,none,none,none,"20358 - First World War, 1914-1918",none,none,none,none
Private Patrick Bertrand Harpur,https://www.awm.gov.au/people/P10680111/#biography,none,none,"Australia: New South Wales, Dubbo",none,Private,none,none,Australian Imperial Force,none,1916-09-30,none,"2431 - First World War, 1914-1918",12 May 1917,1917-05-12,France,none
Private David Henry Harris,https://www.awm.gov.au/people/P10677917/#biography,1885,1885,"Australia: Western Australia, Albany",1916-10-20,Private,1917-02-15,none,none,none,none,none,"9966 - First World War, 1914-1918",none,none,none,none
Private James Gordon Harris,https://www.awm.gov.au/people/P10678397/#biography,1889,1889,"Australia: Victoria, Healesville",none,Private,none,none,59th Australian Infantry Battalion,none,1917-11-21,none,"3533 - First World War, 1914-1918",4 July 1918,1918-07-04,France,none
Private Joseph Harris,https://www.awm.gov.au/people/P10678398/#biography,1 November 1892,1892-11-01,"Australia: New South Wales, Peak Hill",none,Private,none,none,14th Australian Light Horse Regiment,none,1918-06-10,none,"56986 - First World War, 1914-1918",none,none,none,none
Private William Harris,https://www.awm.gov.au/people/P10358670/#biography,1891,1891,"Australia: New South Wales, Wellington",none,Private,none,none,15th Australian Infantry Battalion,none,1915-09-01,none,"2838 - First World War, 1914-1918",none,none,none,none
Private Frederick Harrison,https://www.awm.gov.au/people/P10678401/#biography,1899,1899,"Australia: Victoria, Antwerp",none,Private,none,none,"48th Australian Infantry Battalion
4th Australian Divisional Train",none,none,none,"3654 - First World War, 1914-1918",none,none,none,none
Driver Arthur Walter Harward,https://www.awm.gov.au/people/P10399107/#biography,none,none,"Australia: Queensland, Brisbane, Stradbroke Island",none,Driver,none,none,"10th Field Company, Australian Engineers",none,1917-05-10,none,"17209 - First World War, 1914-1918",none,none,none,none
Private Robert Percy Harward,https://www.awm.gov.au/people/P10556792/#biography,none,none,"Australia: Queensland, Southport",none,Private,none,none,41st Australian Infantry Battalion,none,1916-05-18,none,"443 - First World War, 1914-1918",none,none,none,none
Private Henry Hawkins,https://www.awm.gov.au/people/P10396597/#biography,1887,1887,"Australia: Queensland, Charleville",none,Private,none,none,none,none,1915-11-10,none,"2255 - First World War, 1914-1918",none,none,none,none
Private Reginald Francis Hawkins,https://www.awm.gov.au/people/P10677701/#biography,1882,1882,"Australia: Queensland, Jericho",none,Private,none,none,42nd Australian Infantry Battalion,none,1916-06-05,none,"370 - First World War, 1914-1918",none,none,none,none
Private Thomas Joseph Haynes,https://www.awm.gov.au/people/P10678403/#biography,1886,1886,"Australia: Queensland, St George",none,Private,none,none,9th Australian Infantry Battalion,none,1915-12-30,none,"3103A - First World War, 1914-19183103 - First World War, 1914-1918",15 April 1917,1917-04-15,France,none
2nd Lieutenant Alfred John Hearps,https://www.awm.gov.au/people/P10677705/#biography,6 March 1895,1895-03-06,"Australia: Tasmania, Forth",none,2nd Lieutenant,none,none,12th Australian Infantry Battalion,none,1914-10-20,none,"409 - First World War, 1914-1918",19 August 1916,1916-08-19,France,none
Driver Charles Hearps,https://www.awm.gov.au/people/P10678404/#biography,1896,1896,"Australia: Tasmania, Devonport",none,Driver,none,none,40th Australian Infantry Battalion,none,1916-07-01,none,"207 - First World War, 1914-1918",16 July 1958,1958-07-16,"New Zealand: North Island, Wellington, Masterton",none
Private Cyril Charles Hearps,https://www.awm.gov.au/people/P10523967/#biography,21 May 1881,1881-05-21,"Australia: Tasmania, Burnie",none,Private,none,none,26th Australian Infantry Battalion,none,1915-06-29,none,"900 - First World War, 1914-1918",2 July 1964,1964-07-02,"Australia: Victoria, Euroa",none
Private George Clarence Hearps,https://www.awm.gov.au/people/P10678406/#biography,26 November 1895,1895-11-26,"Australia: Tasmania, Latrobe",none,Private,none,none,"12th Australian Infantry Battalion
52nd Australian Infantry Battalion",none,none,none,"3478 - First World War, 1914-1918",none,none,none,none
Private Linden Louis Hearps,https://www.awm.gov.au/people/P10373297/#biography,19 January 1885,1885-01-19,"Australia: Tasmania, Barrington",none,Private,none,none,1st Australian Light Railway Operating Company,none,1917-12-22,none,"2360 - First World War, 1914-1918",25 January 1946,1946-01-25,Australia: Victoria,none
Sapper William Norton Hearps,https://www.awm.gov.au/people/P10384845/#biography,17 October 1886,1886-10-17,"Australia: Tasmania, Latrobe",none,Sapper,none,none,"10 Field Artillery Brigade
37th Australian Field Artillery Battery
24th Australian Field Artillery (Howitzer) Brigade",none,1916-01-20,none,"6241 - First World War, 1914-1918",2 February 1957,1957-02-02,none,none
Private Edward Heath,https://www.awm.gov.au/people/P10677666/#biography,1896,1896,"Australia: New South Wales, Merriwa",none,Private,none,none,33rd Australian Infantry Battalion,none,1916-10-17,none,"2333 - First World War, 1914-1918",9 June 1917,1917-06-09,Belgium,none
Private John Heath,https://www.awm.gov.au/people/P10682750/#biography,none,none,"Australia: New South Wales, Coolah",none,Private,none,none,2nd Australian Infantry Battalion,none,1916-06-03,none,"5803 - First World War, 1914-1918",7 May 1917,1917-05-07,France,none
Private Frank Hedlam,https://www.awm.gov.au/people/P10677918/#biography,1894,1894,"Australia: Western Australia, Peak Hill",1916-01-18,Private,1916-02-14,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Corporal Stanley Hedley,https://www.awm.gov.au/people/P10682751/#biography,none,none,"Australia: Western Australia, Wyndham",none,Corporal,none,none,51st Australian Infantry Battalion,none,1916-04-01,none,"4812 - First World War, 1914-1918",24 April 1918,1918-04-24,France,none
John Sidney Heland,https://www.awm.gov.au/people/P10681944/#biography,none,none,"Australia: New South Wales, Darlington Point, Warangesda",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Christie Hill,https://www.awm.gov.au/people/P10681945/#biography,none,none,"Australia: Queensland, Bundaberg",none,none,none,none,none,none,none,none,"Q19610 - First World War, 1914-1918",none,none,none,none
Private Edward Hill,https://www.awm.gov.au/people/P10625880/#biography,1894,1894,"Australia: Queensland, Goondiwindi",none,Private,none,none,15th Australian Light Horse Regiment,none,1917-02-17,none,"3238 - First World War, 1914-1918",none,none,none,none
Private George Hill,https://www.awm.gov.au/people/P10521497/#biography,1894,1894,"Australia: Queensland, North Queensland, Rockhampton",none,Private,none,none,"49th Australian Infantry Battalion
4th Australian Machine Gun Battalion",none,1917-08-01,none,"3655 - First World War, 1914-1918",none,none,none,none
George Hilliet,https://www.awm.gov.au/people/P10677919/#biography,1890,1890,"Australia: New South Wales, Cummeragunja",1918-01-25,none,1918-01-25,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
William Hilliet,https://www.awm.gov.au/people/P10677920/#biography,1896,1896,"Australia: New South Wales, Cummeragunja",1918-01-25,none,1918-01-25,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
